Dataset,FeatureScenario,k,Silhouette,DaviesBouldin,CalinskiHarabasz,GapStatistic,ClusterConfig,CompressionTool,StandardSize(B),StandardRatio,DecomposedSize(B)_ColOrder,DecomposedRatio_ColOrder,DecomposedSize(B)_RowOrder,DecomposedRatio_RowOrder
acs_wht_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,Entropy_Min,2,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",fastlz,193331844,1.1638020687373156,193331844,1.1638020687373156,155526598,1.446697882506245
acs_wht_f32,Entropy_Min,3,-1.0,-1.0,-1.0,-1.0,"(1,2,3,4)",fastlz,193331844,1.1638020687373156,193331844,1.1638020687373156,155526598,1.446697882506245
acs_wht_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,Frequency,2,0.7348852208925825,0.01336271541968942,2489.0178100315898,2.0627835861179724,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,Frequency,3,0.4998277176792524,0.00011656437559046155,6993816621.464493,8.795284887196,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
acs_wht_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
acs_wht_f32,All_Features,2,0.6880880273802685,0.05404424838388474,152.16633636031207,0.9724229249580225,"(1,2,3)|(4)",fastlz,193331844,1.1638020687373156,155425604,1.4476379322933177,155526296,1.4467006916952487
acs_wht_f32,All_Features,3,0.4996796255182581,0.0002261595179677934,125167781.94853376,7.474309212689567,"(1,2)|(3)|(4)",fastlz,193331844,1.1638020687373156,155475540,1.4471729765338008,155526040,1.4467030730030803
acs_wht_f32,All_Features,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,193331844,1.1638020687373156,155525983,1.4467036032172194,155525983,1.4467036032172194
tpcds_store_f32,Entropy,2,0.7083148889199962,0.2854860612253027,24.201218283312592,-0.7592262717636001,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,Entropy,3,0.3467811890337237,0.13603726432327762,16.582369066431305,-0.9550306086531177,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,Entropy,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
tpcds_store_f32,Entropy_Mean,2,0.7079935680477354,0.2857882064838352,24.15112413681581,-1.0780535664057163,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,Entropy_Mean,3,0.3465503983395531,0.1362225889577164,16.541740633508443,-0.7704691789674629,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,Entropy_Mean,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
tpcds_store_f32,Entropy_Std,2,0.5218224382960168,0.15504889310396924,15.807194094595436,-0.01524174362806896,"(1,3,4)|(2)",fastlz,248296103,1.1136540149403795,257228169,1.074983167959338,239557163,1.154279623857459
tpcds_store_f32,Entropy_Std,3,0.2480122777292921,0.18326301409937948,30.205614830744995,-1.064646151499364,"(1,4)|(3)|(2)",fastlz,248296103,1.1136540149403795,258928772,1.067922849454521,239559594,1.1542679104724147
tpcds_store_f32,Entropy_Std,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
tpcds_store_f32,Entropy_Max,2,0.7120291433224301,0.28194747769454603,24.73744279436664,-0.8769885263731926,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,Entropy_Max,3,0.3510236273626735,0.13244638853766774,17.48594789630712,-1.0731835674524661,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,Entropy_Max,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
tpcds_store_f32,Entropy_Min,2,0.7033006535400491,0.29024067784560204,23.485689992245145,-0.9185521574532955,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,Entropy_Min,3,0.34142925212265807,0.14051929907188573,15.560979462591334,-1.307801846442897,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,Entropy_Min,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
tpcds_store_f32,Frequency,2,0.4869411053823336,0.48286074409131813,8.552226394402147,-1.007006032885844,"(2,3)|(1,4)",fastlz,248296103,1.1136540149403795,257463379,1.0740010990067834,239559575,1.154268002019957
tpcds_store_f32,Frequency,3,0.16219187338298227,0.26471752926519043,5.4246917144347755,-1.5961976011919177,"(2,3)|(1)|(4)",fastlz,248296103,1.1136540149403795,238095099,1.1613676768709968,239560473,1.1542636752098916
tpcds_store_f32,Frequency,4,-1.0,-1.0,-1.0,-1.0,(1)|(2)|(3)|(4),fastlz,248296103,1.1136540149403795,239560492,1.1542635836630357,239560492,1.1542635836630357
